location_id,sensor_id,location_name,datetime_utc,datetime_local,parameter,parameter_display,units,value,coordinates_latitude,coordinates_longitude,country_code,country_name,is_mobile,is_monitor,date,hour_utc,day_of_week,month,has_coordinates
236,390,"Mandir Marg, Delhi - DPCC",2018-02-21 21:15:00+00:00,2018-02-22 02:45:00+05:30,unknown,unknown,unknown,2.6,28.6341,77.2005,unknown,unknown,,,2018-02-21,21,Wednesday,2018-02,True
236,391,"Mandir Marg, Delhi - DPCC",2018-02-21 21:15:00+00:00,2018-02-22 02:45:00+05:30,unknown,unknown,unknown,208.0,28.6341,77.2005,unknown,unknown,,,2018-02-21,21,Wednesday,2018-02,True
286,474,Collectorate - Gaya - BSPCB,2018-02-22 03:00:00+00:00,2018-02-22 08:30:00+05:30,unknown,unknown,unknown,131.2,24.7489694,84.9438395,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
286,562,Collectorate - Gaya - BSPCB,2018-02-22 03:00:00+00:00,2018-02-22 08:30:00+05:30,unknown,unknown,unknown,105.0,24.7489694,84.9438395,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
286,563,Collectorate - Gaya - BSPCB,2018-02-22 03:00:00+00:00,2018-02-22 08:30:00+05:30,unknown,unknown,unknown,9.5,24.7489694,84.9438395,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
286,565,Collectorate - Gaya - BSPCB,2018-02-22 03:00:00+00:00,2018-02-22 08:30:00+05:30,unknown,unknown,unknown,43.7,24.7489694,84.9438395,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
301,506,"Vikas Sadan, Gurugram - HSPCB",2016-04-12 09:30:00+00:00,2016-04-12 15:00:00+05:30,unknown,unknown,unknown,132.94,28.4501238,77.0263051,unknown,unknown,,,2016-04-12,9,Tuesday,2016-04,True
301,1166,"Vikas Sadan, Gurugram - HSPCB",2022-10-31 02:00:00+00:00,2022-10-31 07:30:00+05:30,unknown,unknown,unknown,152.9,28.4501238,77.0263051,unknown,unknown,,,2022-10-31,2,Monday,2022-10,True
301,5396,"Vikas Sadan, Gurugram - HSPCB",2022-10-31 02:00:00+00:00,2022-10-31 07:30:00+05:30,unknown,unknown,unknown,210.0,28.4501238,77.0263051,unknown,unknown,,,2022-10-31,2,Monday,2022-10,True
301,5405,"Vikas Sadan, Gurugram - HSPCB",2022-10-31 02:00:00+00:00,2022-10-31 07:30:00+05:30,unknown,unknown,unknown,25.92,28.4501238,77.0263051,unknown,unknown,,,2022-10-31,2,Monday,2022-10,True
301,5407,"Vikas Sadan, Gurugram - HSPCB",2022-10-31 02:00:00+00:00,2022-10-31 07:30:00+05:30,unknown,unknown,unknown,3.74,28.4501238,77.0263051,unknown,unknown,,,2022-10-31,2,Monday,2022-10,True
301,5409,"Vikas Sadan, Gurugram - HSPCB",2022-10-31 02:00:00+00:00,2022-10-31 07:30:00+05:30,unknown,unknown,unknown,15.34,28.4501238,77.0263051,unknown,unknown,,,2022-10-31,2,Monday,2022-10,True
301,14258983,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,1.89,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
301,14258984,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,49.74,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
301,14258985,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,30.72,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
301,14258986,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,22.17,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
