location_id,sensor_id,location_name,datetime_utc,datetime_local,parameter,parameter_display,units,value,coordinates_latitude,coordinates_longitude,country_code,country_name,is_mobile,is_monitor
431,13868,"IHBAS, Delhi - CPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,11.9,28.6821,77.305,,,,
431,13867,"IHBAS, Delhi - CPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,6.42,28.6821,77.305,,,,
431,5361,"IHBAS, Delhi - CPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,2500.0,28.6821,77.305,,,,
431,747,"IHBAS, Delhi - CPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,121.43,28.6821,77.305,,,,
594,1048,"BTM Layout, Bengaluru - KSPCB",2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,910.0,12.912811110000002,77.60921944,,,,
594,13836,"BTM Layout, Bengaluru - KSPCB",2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,45.62,12.912811110000002,77.60921944,,,,
594,4886,"BTM Layout, Bengaluru - KSPCB",2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,15.57,12.912811110000002,77.60921944,,,,
594,1427,"BTM Layout, Bengaluru - KSPCB",2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,131.87,12.912811110000002,77.60921944,,,,
594,13837,"BTM Layout, Bengaluru - KSPCB",2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,4.49,12.912811110000002,77.60921944,,,,
697,1206,"Haldia, Haldia - WBPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,14.96,22.06047,88.109737,,,,
697,1209,"Haldia, Haldia - WBPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,85.33,22.06047,88.109737,,,,
697,1205,"Haldia, Haldia - WBPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,16.52,22.06047,88.109737,,,,
697,234638,"Haldia, Haldia - WBPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,24.39,22.06047,88.109737,,,,
697,1208,"Haldia, Haldia - WBPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,14.9,22.06047,88.109737,,,,
697,1207,"Haldia, Haldia - WBPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,810.0,22.06047,88.109737,,,,
703,1223,Collectorate Jodhpur - RSPCB,2016-06-24T10:45:00Z,2016-06-24T16:15:00+05:30,,,,5.63,26.2920639,73.0379111111111,,,,
703,1224,Collectorate Jodhpur - RSPCB,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,146.3,26.2920639,73.0379111111111,,,,
703,1225,Collectorate Jodhpur - RSPCB,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,353.0,26.2920639,73.0379111111111,,,,
703,1220,Collectorate Jodhpur - RSPCB,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,70.0,26.2920639,73.0379111111111,,,,
703,1222,Collectorate Jodhpur - RSPCB,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,4.81,26.2920639,73.0379111111111,,,,
703,1226,Collectorate Jodhpur - RSPCB,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,68.44,26.2920639,73.0379111111111,,,,
